epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1173,0.91289,2.44487,1.40377,0.00333,1,0.32207,0.18748,0.60726,3.08406,1.40167,0.0847,0.0017,0.0017
2,86.6691,0.69123,1.96823,1.25766,0.00333,1,0.83605,0.59587,0.57996,2.91755,1.33126,0.0684307,0.0034307,0.0034307
3,136.689,0.66375,1.33998,1.21153,1,0.57411,0.93021,0.72197,0.67829,2.59649,1.33567,0.0520901,0.00509012,0.00509012
4,185.833,0.61076,1.12,1.16268,1,0.79836,0.995,0.82395,0.54561,2.42712,1.22651,0.0356783,0.00667826,0.00667826
5,230.106,0.61842,1.05306,1.17361,0.9858,0.86667,0.96362,0.79389,0.65767,1.99549,1.31956,0.0191951,0.00819512,0.00819512
6,271.531,0.71353,1.08268,1.22711,0.76386,0.8627,0.85823,0.61544,0.95536,2.26436,1.83123,0.00901,0.00901,0.00901
7,312.307,0.74405,1.14878,1.22894,0.80954,0.7,0.80543,0.54175,1.10579,2.42821,2.00474,0.008812,0.008812,0.008812
8,354.093,0.77231,1.09772,1.25326,0.92567,0.83031,0.90754,0.62422,1.0762,1.89656,1.90162,0.008614,0.008614,0.008614
9,401.82,0.68163,0.94214,1.14778,0.95828,0.76565,0.90195,0.68006,0.87213,1.69563,1.61479,0.008416,0.008416,0.008416
10,447.471,0.72848,0.93094,1.21437,0.92449,0.83333,0.92164,0.67661,0.84105,1.65641,1.45375,0.008218,0.008218,0.008218
11,491.914,0.67751,0.88925,1.17627,0.8975,0.96667,0.96085,0.75811,0.72014,1.3888,1.32843,0.00802,0.00802,0.00802
12,535.656,0.70378,0.87501,1.15671,0.9905,0.96667,0.99071,0.73321,0.87168,1.25032,1.79531,0.007822,0.007822,0.007822
13,581.82,0.71057,0.84523,1.17426,0.93533,0.96434,0.9794,0.69404,0.89417,1.32807,1.76168,0.007624,0.007624,0.007624
14,626.173,0.69615,0.80138,1.18699,1,0.89693,0.98896,0.81013,0.70585,1.03483,1.3632,0.007426,0.007426,0.007426
15,669.938,0.67051,0.77727,1.15144,0.99908,0.9,0.97421,0.78328,0.74804,1.14308,1.42742,0.007228,0.007228,0.007228
16,711.135,0.66751,0.76368,1.14066,0.96536,0.9292,0.98383,0.81507,0.65506,1.05349,1.34603,0.00703,0.00703,0.00703
17,758.189,0.65989,0.81038,1.16927,0.90628,0.9,0.95193,0.75356,0.71274,1.10988,1.41581,0.006832,0.006832,0.006832
18,796.371,0.61308,0.72914,1.14769,1,0.89832,0.98367,0.77633,0.70835,1.00685,1.3973,0.006634,0.006634,0.006634
19,843.103,0.64039,0.68748,1.09412,0.96167,0.93333,0.94802,0.79308,0.65889,1.01272,1.35118,0.006436,0.006436,0.006436
20,889.658,0.67072,0.68409,1.1885,0.9286,0.93333,0.9454,0.76859,0.66399,1.08947,1.38218,0.006238,0.006238,0.006238
21,937.915,0.551,0.59972,1.08433,0.93336,0.86667,0.95152,0.6516,0.94021,1.17481,1.75251,0.00604,0.00604,0.00604
22,980.535,0.57029,0.60127,1.093,0.92363,0.93333,0.94452,0.72446,0.77833,1.01374,1.45087,0.005842,0.005842,0.005842
23,1020.05,0.61489,0.63447,1.10337,0.89321,0.9,0.92236,0.71716,0.81039,1.18461,1.45387,0.005644,0.005644,0.005644
24,1067.24,0.57674,0.60052,1.09718,0.97827,0.86667,0.94352,0.75435,0.71946,0.95173,1.3675,0.005446,0.005446,0.005446
